,Open Price,High Price,Low Price,Last Price,Intra day range ,overnight,Volume,Volatility 30 Day,Price Change 1 Day Percent
Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,Intra day range ,overnight,PX_VOLUME,VOLATILITY_30D,CHG_PCT_1D
12/30/1927,17.66,17.66,17.66,17.66,0,0,#N/A N/A,#N/A N/A,#N/A N/A
1/3/1928,17.76,17.76,17.76,17.76,0,0,#N/A N/A,#N/A N/A,0.57
1/4/1928,17.72,,17.72,17.72,-1,0,#N/A N/A,#N/A N/A,-0.23
1/5/1928,17.55,17.55,17.55,17.55,0,0,#N/A N/A,#N/A N/A,-0.96
1/6/1928,17.66,17.66,17.66,17.66,0,0,#N/A N/A,#N/A N/A,0.63
1/9/1928,17.5,17.5,17.5,17.5,0,0,#N/A N/A,#N/A N/A,-0.91
1/10/1928,17.37,17.37,17.37,17.37,0,0,#N/A N/A,#N/A N/A,-0.74
1/11/1928,17.35,17.35,17.35,17.35,0,0,#N/A N/A,#N/A N/A,-0.12
1/12/1928,17.47,17.47,17.47,17.47,0,0,#N/A N/A,#N/A N/A,0.69
1/13/1928,17.58,17.58,17.58,17.58,0,0,#N/A N/A,#N/A N/A,0.63
1/16/1928,17.29,17.29,17.29,17.29,0,0,#N/A N/A,#N/A N/A,-1.65
1/17/1928,17.3,17.3,17.3,17.3,0,0,#N/A N/A,#N/A N/A,0.06
1/18/1928,17.26,17.26,17.26,17.26,0,0,#N/A N/A,#N/A N/A,-0.23
1/19/1928,17.38,17.38,17.38,17.38,0,0,#N/A N/A,#N/A N/A,0.7
1/20/1928,17.48,17.48,17.48,17.48,0,0,#N/A N/A,#N/A N/A,0.58
1/23/1928,17.64,17.64,17.64,17.64,0,0,#N/A N/A,12.5,0.92
1/24/1928,17.71,17.71,17.71,17.71,0,0,#N/A N/A,12.19,0.4
1/25/1928,17.52,17.52,17.52,17.52,0,0,#N/A N/A,12.56,-1.07
1/26/1928,17.63,17.63,17.63,17.63,0,0,#N/A N/A,12.45,0.63
1/27/1928,17.69,17.69,17.69,17.69,0,0,#N/A N/A,12.16,0.34
1/30/1928,17.49,17.49,17.49,17.49,0,0,#N/A N/A,12.54,-1.13
1/31/1928,17.57,17.57,17.57,17.57,0,0,#N/A N/A,12.35,0.46
2/1/1928,17.53,17.53,17.53,17.53,0,0,#N/A N/A,12.07,-0.23
2/2/1928,17.63,17.63,17.63,17.63,0,0,#N/A N/A,11.97,0.57
2/3/1928,17.4,17.4,17.4,17.4,0,0,#N/A N/A,12.47,-1.3
2/6/1928,17.45,17.45,17.45,17.45,0,0,#N/A N/A,12.26,0.29
2/7/1928,17.44,17.44,17.44,17.44,0,0,#N/A N/A,12.01,-0.06
2/8/1928,17.49,17.49,17.49,17.49,0,0,#N/A N/A,11.82,0.29
2/9/1928,17.55,17.55,17.55,17.55,0,0,#N/A N/A,11.66,0.34
2/10/1928,17.54,17.54,17.54,17.54,0,0,#N/A N/A,11.51,-0.06
2/14/1928,17.44,17.44,17.44,17.44,0,0,#N/A N/A,11.51,#N/A N/A
